Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2021-02-01,HDFCLIFE.NS,673.13116,704.48897,660.24238,669.92131,24127313,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-02-08,HDFCLIFE.NS,702.16809,717.47663,668.88435,677.37810,24538306,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-02-15,HDFCLIFE.NS,701.87170,714.51358,678.46445,704.68648,17208284,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-02-22,HDFCLIFE.NS,691.99524,734.80973,679.55084,702.21737,28924288,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-03-01,HDFCLIFE.NS,708.39020,722.46418,691.50145,702.51368,10634487,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-03-08,HDFCLIFE.NS,702.01984,736.78504,701.22973,712.98276,14310766,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-03-15,HDFCLIFE.NS,679.94598,706.16801,665.52629,703.20507,11384843,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-03-22,HDFCLIFE.NS,663.40289,686.16816,653.82270,680.93364,11033315,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-03-29,HDFCLIFE.NS,682.46448,695.64955,663.40289,663.40289,9279743,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-04-05,HDFCLIFE.NS,686.26685,697.27914,667.74845,689.27922,9796681,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-04-12,HDFCLIFE.NS,682.11877,704.88404,671.20522,676.53854,12980568,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-04-19,HDFCLIFE.NS,677.87189,682.85956,653.37824,673.62501,15977010,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-04-26,HDFCLIFE.NS,656.88434,710.11856,652.53873,684.43973,24827351,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-05-03,HDFCLIFE.NS,664.34113,672.43979,649.03259,651.84736,15458568,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-05-10,HDFCLIFE.NS,662.31647,677.47689,656.88441,661.97081,10782986,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-05-17,HDFCLIFE.NS,662.41516,670.61262,654.66209,663.30401,12462102,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-05-24,HDFCLIFE.NS,660.68683,666.06952,648.98317,662.41521,13744998,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-05-31,HDFCLIFE.NS,672.48926,680.24227,654.26715,662.41524,15228992,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-06-07,HDFCLIFE.NS,674.16821,688.29162,666.66212,673.87193,12147455,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-06-14,HDFCLIFE.NS,700.43964,702.21739,665.97071,674.16818,17235522,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-06-21,HDFCLIFE.NS,716.98273,722.46416,695.89642,698.51371,14931670,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-06-28,HDFCLIFE.NS,679.00763,719.00735,670.46445,719.00735,52179969,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-07-05,HDFCLIFE.NS,676.80164,684.47849,668.62950,683.48793,22383488,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-07-12,HDFCLIFE.NS,691.41241,695.37466,673.68133,678.03982,11582080,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-07-19,HDFCLIFE.NS,659.07056,689.92659,654.86067,689.92659,13356032,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-07-26,HDFCLIFE.NS,657.78284,668.43138,654.11774,658.72388,13324657,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-08-02,HDFCLIFE.NS,667.04468,673.23569,659.12018,662.68618,12362968,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-08-09,HDFCLIFE.NS,664.17200,671.79934,655.10833,667.78757,8036903,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-08-16,HDFCLIFE.NS,661.54694,670.16484,649.80880,663.67667,9213753,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-08-23,HDFCLIFE.NS,697.45483,700.32749,656.04935,663.67669,23903170,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-08-30,HDFCLIFE.NS,727.46887,768.32956,697.45479,702.30857,43752166,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-09-06,HDFCLIFE.NS,730.39099,739.94994,721.82266,733.01601,16914673,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-09-13,HDFCLIFE.NS,740.69293,752.43107,716.62228,729.99487,22901236,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-09-20,HDFCLIFE.NS,718.95007,739.85097,713.94775,732.07502,9005978,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-09-27,HDFCLIFE.NS,722.56561,733.01603,707.55857,722.51610,14603040,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-10-04,HDFCLIFE.NS,715.28491,734.69997,712.51135,718.55382,9818698,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-10-11,HDFCLIFE.NS,687.25208,718.05860,686.45964,718.05860,13418659,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-10-18,HDFCLIFE.NS,684.23077,704.28966,671.60111,693.39347,16302278,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-10-25,HDFCLIFE.NS,674.02808,693.34404,669.12478,684.23085,10999196,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-11-01,HDFCLIFE.NS,689.82751,693.29448,673.92894,674.02804,5139353,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-11-08,HDFCLIFE.NS,713.79913,715.18594,685.46908,695.86998,13603177,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
2021-11-15,HDFCLIFE.NS,697.85114,717.11758,695.67189,717.11758,7980058,84.28925,8.09000,0.146,1467973894144,9.27313,0.30000,12.337,577.32360
