Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2021-05-04,GABRIEL.NS,101.37529,104.20191,100.60874,100.65666,332657,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-05,GABRIEL.NS,101.08783,102.52510,100.84828,101.66274,119895,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-06,GABRIEL.NS,101.13574,103.29164,100.89620,102.38137,116263,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-07,GABRIEL.NS,100.80038,102.57301,100.56083,102.42928,181702,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-10,GABRIEL.NS,103.67491,105.20800,101.08783,102.42928,280827,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-11,GABRIEL.NS,102.90838,105.11218,101.95020,102.42929,259816,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-12,GABRIEL.NS,102.14183,104.15400,101.75856,103.19583,162018,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-14,GABRIEL.NS,101.56692,103.86655,100.99201,103.86655,158186,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-17,GABRIEL.NS,101.66273,103.10000,101.08783,101.56692,163182,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-18,GABRIEL.NS,107.02854,110.57381,102.23765,102.52511,2519076,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-19,GABRIEL.NS,113.44833,115.84378,106.45363,107.02853,3830985,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-20,GABRIEL.NS,113.11298,118.19132,111.53198,114.31070,880484,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-21,GABRIEL.NS,112.20271,114.50234,111.24453,113.44834,328463,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-24,GABRIEL.NS,120.63468,123.41340,112.53807,112.53807,2368493,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-25,GABRIEL.NS,121.54495,126.00048,120.77841,121.68868,2171969,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-26,GABRIEL.NS,118.33504,122.64684,117.85595,122.50311,565413,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-27,GABRIEL.NS,120.82632,123.70086,118.71833,120.73050,1483437,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-28,GABRIEL.NS,115.31679,123.12594,114.21488,122.64686,678769,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-05-31,GABRIEL.NS,113.83161,117.04151,113.16088,115.50842,418139,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-01,GABRIEL.NS,112.15479,118.71831,111.38825,115.17305,634533,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-02,GABRIEL.NS,112.34643,114.40651,111.14870,113.01715,284674,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-03,GABRIEL.NS,122.40731,123.31758,112.87344,113.54416,2186605,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-04,GABRIEL.NS,123.31758,124.27576,120.20350,123.60504,1265633,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-07,GABRIEL.NS,125.32976,129.16247,123.60503,125.52139,2234384,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-08,GABRIEL.NS,124.99438,126.33584,121.06585,126.33584,976240,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-09,GABRIEL.NS,122.40731,128.30010,121.68868,126.47957,743588,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-10,GABRIEL.NS,123.41339,126.00047,122.02403,123.55711,290087,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-11,GABRIEL.NS,122.31150,125.04231,121.68868,124.56322,289395,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-14,GABRIEL.NS,119.67651,122.64686,118.09551,122.16777,356827,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-15,GABRIEL.NS,117.76015,121.40123,115.79589,119.96396,496161,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-16,GABRIEL.NS,116.13123,120.63468,115.17305,117.76014,497108,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-17,GABRIEL.NS,116.13123,120.29932,115.02933,116.13123,801817,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-18,GABRIEL.NS,115.26888,118.09550,111.14870,117.04150,498649,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-21,GABRIEL.NS,113.78371,114.59816,110.90918,113.54417,351923,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-22,GABRIEL.NS,115.65215,119.58068,114.98142,115.02934,641480,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-23,GABRIEL.NS,114.83769,118.33505,114.11906,116.84987,349610,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-24,GABRIEL.NS,114.88560,118.28713,114.55024,116.41868,812622,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-25,GABRIEL.NS,115.12515,116.89778,114.35861,116.13124,364800,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-28,GABRIEL.NS,115.50842,118.33505,114.98142,115.93960,515291,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-29,GABRIEL.NS,113.73579,116.89778,113.30461,116.89778,284082,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-06-30,GABRIEL.NS,115.12515,116.41869,113.83161,114.83770,287846,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-01,GABRIEL.NS,116.13123,117.08941,115.55633,115.79587,247822,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-02,GABRIEL.NS,115.98752,117.23315,115.12516,116.89779,161037,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-05,GABRIEL.NS,116.17915,117.04151,115.93960,116.80196,198579,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-06,GABRIEL.NS,117.61641,120.73049,115.98751,116.89778,675088,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-07,GABRIEL.NS,116.17915,118.23923,115.46051,116.99360,369876,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-08,GABRIEL.NS,121.06585,124.27575,116.46660,116.61032,3490745,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-09,GABRIEL.NS,120.49096,122.02404,118.95787,121.68868,570758,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-12,GABRIEL.NS,120.44303,122.79057,119.38904,121.44912,501902,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-13,GABRIEL.NS,121.25750,123.12594,120.25141,121.35332,432220,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-14,GABRIEL.NS,122.69476,126.24002,120.97004,122.11985,2126631,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-15,GABRIEL.NS,124.08411,128.53964,123.60502,125.80884,1617769,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-16,GABRIEL.NS,124.13203,126.47957,123.36549,125.37767,585432,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-19,GABRIEL.NS,120.15559,123.89248,117.99968,122.88639,430768,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-20,GABRIEL.NS,117.90386,121.35330,116.41868,120.58676,424009,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-22,GABRIEL.NS,118.57459,120.53886,117.56850,119.77232,216630,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-23,GABRIEL.NS,119.77232,123.03012,118.90996,119.62860,529311,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-26,GABRIEL.NS,121.92822,123.70085,119.14950,120.58676,499091,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
2021-07-27,GABRIEL.NS,133.10458,134.40529,122.74719,123.18076,4900514,29.50594,15.99000,0.456,67922214912,6.24115,0.0074,7.503,64.70601
