Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2022-02-10,JSWSTEEL.NS,644.60565,672.54999,678.00000,664.09998,4284880,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-11,JSWSTEEL.NS,643.50342,671.40002,675.00000,659.65002,3122555,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-14,JSWSTEEL.NS,600.51697,626.54999,665.00000,604.29999,6491576,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-15,JSWSTEEL.NS,614.03107,640.65002,643.45001,617.09998,4001839,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-16,JSWSTEEL.NS,611.49115,638.00000,646.15002,635.00000,1939683,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-17,JSWSTEEL.NS,611.68286,638.20001,649.45001,634.40002,2382178,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-18,JSWSTEEL.NS,606.55511,632.84998,642.50000,631.15002,1458069,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-21,JSWSTEEL.NS,597.21027,623.09998,635.00000,621.25000,1857572,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-22,JSWSTEEL.NS,596.15601,622.00000,624.70001,602.50000,3353278,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-23,JSWSTEEL.NS,589.15930,614.70001,627.95001,612.84998,2339927,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-24,JSWSTEEL.NS,545.69354,569.34998,604.50000,566.00000,5487481,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-25,JSWSTEEL.NS,573.72821,598.59998,605.95001,576.15002,4524909,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-02-28,JSWSTEEL.NS,601.37952,627.45001,629.79999,590.20001,7142843,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-02,JSWSTEEL.NS,617.81696,644.59998,654.00000,622.15002,8894940,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-03,JSWSTEEL.NS,627.49731,654.70001,662.50000,649.29999,5940599,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-04,JSWSTEEL.NS,605.69250,631.95001,660.40002,628.70001,7605400,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-07,JSWSTEEL.NS,610.67657,637.15002,643.00000,622.50000,5507113,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-08,JSWSTEEL.NS,603.67975,629.84998,639.95001,613.09998,5422987,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-09,JSWSTEEL.NS,601.09198,627.15002,634.25000,618.00000,3784214,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-10,JSWSTEEL.NS,623.71143,650.75000,652.15002,624.00000,5201836,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-11,JSWSTEEL.NS,641.92194,669.75000,673.00000,647.20001,8172290,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
2022-03-14,JSWSTEEL.NS,637.22546,664.84998,673.00000,658.59998,2529995,44.58680,20.45000,2224409018368,2.79138,0.00810,116.51500,
